128 72 0 , 2150 2335 0
128 80 0 , 2150 2431 0
128 88 0 , 2150 2695 0
128 96 0 , 2150 2788 0
128 104 0 , 2150 2872 0
128 112 0 , 2150 2964 0
128 120 0 , 2150 3046 0
128 128 0 , 2150 3136 0
128 136 0 , 2150 3215 0
128 144 0 , 2151 1391 0
128 152 0 , 2151 1493 0
128 160 0 , 2151 1585 0
128 168 0 , 2151 1687 0
128 176 0 , 2151 1777 0
128 184 0 , 2152 1296 0
128 192 0 , 2153 1192 0
128 200 0 , 2154 1096 0
128 208 0 , 2155 578 0
128 216 0 , 2155 990 0
128 224 0 , 2156 479 0
128 232 0 , 2156 687 0
128 240 0 , 2156 784 0
128 248 0 , 2156 892 0
136 0 0 , 2228 3370 0
136 8 0 , 2229 3294 0
136 16 0 , 2231 3207 0
136 24 0 , 2232 3128 0
136 32 0 , 2233 2426 0
136 40 0 , 2233 2510 0
136 48 0 , 2233 2957 0
136 56 0 , 2233 3038 0
136 64 0 , 2234 2330 0
136 72 0 , 2234 2605 0
136 80 0 , 2234 2690 0
136 88 0 , 2234 2782 0
136 96 0 , 2234 2865 0
136 104 0 , 2235 2244 0
136 112 0 , 2236 2061 0
136 120 0 , 2236 2149 0
136 128 0 , 2237 1874 0
136 136 0 , 2237 1963 0
136 144 0 , 2238 1684 0
136 152 0 , 2238 1775 0
136 160 0 , 2239 1492 0
136 168 0 , 2239 1583 0
136 176 0 , 2240 1389 0
136 184 0 , 2241 1295 0
136 192 0 , 2242 1191 0
136 200 0 , 2243 1096 0
136 208 0 , 2244 990 0
136 216 0 , 2245 580 0
136 224 0 , 2245 786 0
136 232 0 , 2245 893 0
136 240 0 , 2246 482 0
136 248 0 , 2246 689 0
144 0 0 , 2316 3362 0
144 8 0 , 2318 3284 0
144 16 0 , 2320 3197 0
144 24 0 , 2321 3118 0
144 32 0 , 2323 3029 0
144 40 0 , 2324 2598 0
144 48 0 , 2324 2858 0
144 56 0 , 2324 2949 0
144 64 0 , 2325 2419 0
144 72 0 , 2325 2504 0
144 80 0 , 2325 2682 0
144 88 0 , 2325 2775 0
144 96 0 , 2326 2239 0
144 104 0 , 2326 2324 0
144 112 0 , 2327 2143 0
144 120 0 , 2328 2056 0
144 128 0 , 2329 1959 0
144 136 0 , 2330 1870 0
144 144 0 , 2332 1682 0
144 152 0 , 2332 1772 0
144 160 0 , 2333 1582 0
144 168 0 , 2334 1490 0
144 176 0 , 2336 1388 0
144 184 0 , 2337 1295 0
144 192 0 , 2338 1192 0
144 200 0 , 2340 1096 0
144 208 0 , 2341 895 0
144 216 0 , 2341 992 0
144 224 0 , 2342 789 0
144 232 0 , 2343 488 0
144 240 0 , 2343 585 0
144 248 0 , 2343 692 0
152 0 0 , 2398 3355 0
152 8 0 , 2399 3277 0
152 16 0 , 2400 3189 0
